"Processor","Word","Data_Type","ProcessValue","SignalName","Percentage","Percentage_value"
"HBB1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"HBB1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"HBB1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"HBB1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"HBB2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"HBB2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"HBB2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"HBB2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"HBB2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"HBB2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"HBB2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"HBB2","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"HBB2","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"HBB2","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"DDA1","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"DDA1","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"DDA1","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"DDA1","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"DDA1","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"DDA1","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"DDA1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"DDA1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"DDA1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"DDA1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"DDA2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"DDA2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"DDA2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"DDA2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"DDA2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"DDA2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"DDA2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"DDA2","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"DDA2","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"DDA2","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"BUR1","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"BUR1","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"BUR1","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"BUR1","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"BUR1","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"BUR1","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"BUR1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"BUR1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 10kV","10 kV"
"BUR1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"BUR1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"BUR2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"BUR2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"BUR2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"BUR2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"BUR2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"BUR2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"BUR2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"BUR2","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 10kV","10 kV"
"BUR2","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"BUR2","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"BUR3","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"BUR3","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"BUR3","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"BUR3","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"BUR3","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"BUR3","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"BUR3","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"BUR3","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 10kV","10 kV"
"BUR3","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"BUR3","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"ASC1","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"ASC1","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"ASC1","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"ASC1","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"ASC1","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"ASC1","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"ASC1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"ASC1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"ASC1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
